지역,콘도명,룸타입/평형,최근 1년간 확정금액 (min~max),공제방법,본인부담금 (min~max)
서울 강남구,L7호텔_강남,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","330,000 ~ 442,000",급여 및 포인트,"60,000 ~ 152,000 (+ 60 ~ 60)"
서울 강남구,글래드호텔_코엑스,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","180,000 ~ 400,000",급여 및 포인트,"35,000 ~ 110,000 (+ 35 ~ 60)"
서울 강남구,노보텔앰배서더_강남,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","320,000 ~ 528,000",급여 및 포인트,"60,000 ~ 238,000 (+ 60 ~ 60)"
서울 강남구,리베라호텔_청담,"슈페리어더블(기준2인외입실불가), 디럭스트윈(기준2인외입실불가)","187,000 ~ 440,000",급여 및 포인트,"35,000 ~ 150,000 (+ 35 ~ 60)"
서울 강남구,보코 서울_강남,"디럭스싱글(기준2인외입실불가), 디럭스트윈(기준2인외입실불가), 프리미엄킹(기준2인외입실불가)","320,000 ~ 600,000",급여 및 포인트,"60,000 ~ 310,000 (+ 60 ~ 60)"
서울 강남구,신라스테이호텔_삼성,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","280,000 ~ 500,000",급여 및 포인트,"50,000 ~ 210,000 (+ 50 ~ 60)"
서울 강남구,신라스테이호텔_역삼,"트윈(기준2인외입실불가), 더블(기준2인외입실불가)","258,000 ~ 400,000",급여 및 포인트,"50,000 ~ 110,000 (+ 50 ~ 60)"
서울 강남구,포포인츠 바이 쉐라톤 강남,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","250,000 ~ 480,000",급여 및 포인트,"50,000 ~ 190,000 (+ 50 ~ 60)"
서울 강북구,안토리조트,"팀버(기준2인), 팀버주니어(기준2인), 팀버스위트(기준2인), 캐빈(기준2인)","390,000 ~ 950,000",급여 및 포인트,"100,000 ~ 660,000 (+ 60 ~ 60)"
서울 강서구,롯데시티호텔_김포공항,"스탠다드트윈(기준2인외입실불가), 슈페리어더블(기준2인외입실불가), 슈페리어패밀리트윈(기준3인외입실불가)","235,000 ~ 457,000",급여 및 포인트,"40,000 ~ 167,000 (+ 40 ~ 60)"
서울 강서구,코트야드 메리어트 서울 보타닉파크,"킹베드 1+파크뷰(기준2인), 더블베드 2+파크뷰(기준2인)","270,000 ~ 470,000",급여 및 포인트,"50,000 ~ 180,000 (+ 50 ~ 60)"
서울 구로구,롯데시티호텔_구로,"패밀리트윈(기준2인), 트윈(기준2인외입실불가), 더블(기준2인외입실불가)","130,000 ~ 328,000",급여 및 포인트,"20,000 ~ 60,000 (+ 30 ~ 60)"
서울 구로구,포포인츠 바이 쉐라톤 구로,"킹(기준2인외입실불가), 트윈(기준2인외입실불가)","220,000 ~ 500,000",급여 및 포인트,"40,000 ~ 210,000 (+ 40 ~ 60)"
서울 동작구,신라스테이호텔_구로,"트윈(기준2인외입실불가), 더블(기준2인외입실불가)","180,000 ~ 400,000",급여 및 포인트,"35,000 ~ 110,000 (+ 35 ~ 60)"
서울 마포구,L7호텔_홍대,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","380,000 ~ 543,000",급여 및 포인트,"90,000 ~ 253,000 (+ 60 ~ 60)"
서울 마포구,글래드호텔_마포,"디럭스더블(기준2인외입실불가), 디럭스트윈(기준2인외입실불가), 점보트윈(기준2인)","228,000 ~ 450,000",급여 및 포인트,"40,000 ~ 160,000 (+ 40 ~ 60)"
서울 마포구,롯데시티호텔_마포,"슈페리어더블(기준2인외입실불가), 디럭스패밀리트윈(기준3인외입실불가)","279,000 ~ 572,000",급여 및 포인트,"50,000 ~ 282,000 (+ 50 ~ 60)"
서울 마포구,신라스테이호텔_마포,"스탠다드트윈(기준2인외입실불가), 디럭스더블(기준2인외입실불가)","210,000 ~ 580,000",급여 및 포인트,"40,000 ~ 290,000 (+ 40 ~ 60)"
서울 서대문구,신라스테이호텔_서대문,"스탠다드트윈(기준2인외입실불가), 디럭스더블(기준2인외입실불가)","200,000 ~ 650,000",급여 및 포인트,"40,000 ~ 360,000 (+ 40 ~ 60)"
